class;article;text
0; «Вымпелком» у аппарата;"«Вымпелком» у аппарата 06 октября 2023 ,  Коммерсантъ  Veon продает актив российскому топ-менеджменту  По данным “Ъ”, согласованы условия сделки по выходу Veon из российского бизнеса: «Вымпелком» достанется топ-менеджменту, сделка не предполагает обратного выкупа и будет полностью безденежной. В ее рамках, в частности, «Вымпелком» приобрел бонды Veon на 130 млрд руб., выпустив замещающие облигации с более длительным сроком погашения. В результате соотношение долга компании к EBITDA составит 3,5. Аналитики называют такой уровень критическим и считают, что в ближайшее время компании потребуется привлечение нового инвестора — через прямую продажу акций или IPO.По словам трех источников “Ъ” на рынке и собеседника, близкого к одной из сторон сделки, Veon договорился о финальных условиях выхода из российского бизнеса. О сделке может быть объявлено на следующей неделе. По ее итогам 100% ПАО «Вымпелком» перейдет ОАО «Коперник-инвест 3», которое принадлежит гендиректору оператора Александру Торбахову и еще четырем топ-менеджерам. Один из собеседников “Ъ” уточнил, что обратного выкупа акций не предполагается. В Veon не ответили на запрос “Ъ”. В «Вымпелкоме» сказали, что «информация о закрытии сделки с Veon не соответствует действительности».«Вымпелком» оценен в 370 млрд руб., чистый долг компании составляет 240 млрд руб. Соответственно, поясняет один из источников “Ъ”, equity value составила 130 млрд руб.Одним из условий соглашения стало то, что «Вымпелком» выкупает еврооблигации Veon на сопоставимую сумму и выпускает в пользу их держателей собственные замещающие бумаги с более длительным сроком погашения. Также была опция выкупа бумаг с дисконтом (79,57–92,71% в зависимости от выпуска), но почти все держатели выбрали замещение, уточнил собеседник “Ъ”. Он заверил, что «условие выполнено».В результате после сделки долг «Вымпелкома» увеличится. Исходя из финансовых показателей компании на конец второго квартала, уточнил один из источников “Ъ”, соотношение долга к EBITDA составит 3,5: «Это выше, чем показатели сопоставимых компаний. Оптимальное соотношение для отрасли — 2–3 к EBITDA. Но учитывая, что ""Вымпелком"" — высокомаржинальный бизнес, компания сможет обслуживать долг, хотя возможности выплаты дивидендов будут ограниченны». Возможно, допускает он, «Вымпелком» также ограничит капзатраты. «По сути, новые акционеры берут на себя риски, связанные с долгом. Для холдинга важно было обеспечить преемственность, поэтому актив передан управленческой команде»,— подчеркивает один из источников “Ъ”.«Вымпелком» на 100% принадлежит Veon — телекоммуникационному холдингу, контролирующему активы в СНГ и ряде стран Азии и Африки. LetterOne принадлежит 47,9% акций Veon, free float холдинга на NASDAQ составляет 43,8%, еще 8,3% находится под управлением голландского траста. Учредители LetterOne Holdings — основатели «Альфа-групп» Михаил Фридман, Герман Хан и Алексей Кузьмичев — находятся под санкциями. В мае 2022 года Алексей Кузьмичев и Герман Хан вышли из числа совладельцев LetterOne. Абонентская база «Вымпелкома» (бренд «Билайн») за 2022 год сократилась на 9,3%, до 44,8 млн человек, выручка составила 286,7 млрд руб., EBITDA — 118,5 млрд руб.Соотношение долга к EBITDA на уровне 3,5 — верхняя граница долговой нагрузки для финансово устойчивой телекоммуникационной компании, говорит главный аналитик компании «РегБлок» Анна Авакимян: «Фундаментально денежные потоки от операционной деятельности ""Вымпелкома"" должны вытянуть оператора. Но есть существенный негативный фактор, оказывающий влияние на корпоративных заемщиков с повышенным уровнем долга,— стоимость заимствований». Судя по отчетности «Вымпелкома», поясняет эксперт, до 2022 года средняя стоимость заимствований у компании была в районе 7%, в 2022 году — уже 10%, а в 2023 году может вырасти до 13,0–13,7% «в силу ситуации на денежном рынке».Ранее источники “Ъ” называли среди претендентов на актив «Газпром-медиа холдинг», МТС и Сбербанк.Подобная долговая нагрузка потенциально сильно ограничивает CAPEX любой телекоммуникационной компании, но в случае с «Вымпелкомом» вряд ли стоит ожидать существенного ухудшения по сравнению с предыдущими годами, когда он был в составе сильно перегруженного долгами Veon, отмечает старший инвестконсультант «Финама» Тимур Нигматуллин: «Так, до реклассификации активов, связанных с РФ, под продажу соответствующее значение долга к EBITDA приближалось к 5. Тем не менее важно понимать валютные риски — долг ""Вымпелкома"" после замещения будет номинирован в рублях, и, предположительно, валютные риски, связанные с ослаблением нацвалюты, не захеджированы». В то же время, отмечает аналитик, у компании сохраняется опция IPO на Мосбирже, которое позволит заместить часть долгового финансирования на долевое.В то же время выпуск замещающих облигаций российскими эмитентами первого эшелона — «фактор, который благоприятствует кредитному рейтингу и инвестиционному шлейфу компании», уточняет эксперт финансового рынка Андрей Бархота: «Более того, ""Вымпелком"" имел рублевую выручку, но валютные обязательства, что создавало для него определенную финансовую уязвимость». Выпуск замещающих бумаг позволит пролонгировать инвестиционную историю эмитента на фоне смены акционера с сохранением «проверенной команды», добавляет эксперт. Он видит у «Вымпелкома» потенциал для роста возврата на капитал до уровня 18–20% с учетом увеличения цен на связь в России. Юлия Тишина"
1; В «Сбере» раскрыли таргет по акциям до конца года и планы по дивидендам;В «Сбере» раскрыли таргет по акциям до конца года и планы по дивидендам 05 октября 2023 ,  РБК  В «Сбере» планируют увеличивать размер дивидендных выплат и считают акции компании недооцененными, полагая, что к концу года котировки могут вырасти на 25%.  Сбербанк планирует продолжать выплачивать дивиденды и дальше, без каких-то негативных сюрпризов. Об этом в ходе эфира MOEX Home talks, организованного Московской биржей, заявил вице-президент, директор департамента финансов «Сбера» Тарас Скворцов. Он добавил, что Сбербанк также надеется сохранить тенденцию к повышению дивидендов.«Если посмотреть на наш график выплаты дивидендов, то видно, что все последние годы дивиденд на акцию только рос. Мы, конечно, хотим этот позитивный тренд сохранить, потому что понимаем, что в том числе рост дивидендов позволит нам обеспечить рост капитализации, и нашим акционерам получать доход не только в виде дивидендов, но и в виде увеличения стоимости акций». По словам Тараса Скворцова, конкретный размер дивидендов и дивидендную политику Сбербанк объявит в декабре.По итогам 2022 года Сбербанк направил на выплату дивидендов рекордные ₽565 млрд или ₽25 рублей на одну акцию. За 2019 год также была выплачена рекордная сумма — около ₽404 млрд или ₽18,7 на акцию, в следующем году этот рекорд был повторен.В банке считают, что Сбербанк с точки зрения рыночной капитализации сейчас недооценен.«Мы смотрим на рекомендации аналитиков регулярно. И на сегодня средняя цена по нам, правда на конец 2023 года, порядка ₽325. Мы считаем, что это и есть некий хороший таргет, к которому мы стремимся к концу этого года», — сказал Скворцов.В Сбербанке рассчитывают на рост акций и в следующем году. «По следующему году, как у нас полагается, мы хотим расти. Поэтому сначала достигнем ₽325, а потом пойдем дальше. Насколько высоко, сейчас загадывать рано, наверное, правильнее это будет делать в рамках показателей стратегии», — добавил он.На 20:46 мск 4 октября обыкновенные акции «Сбера» торговались на уровне ₽259,78 за бумагу, «префы» — ₽259,6 за бумагу. Таким образом предложенный таргет дает потенциал роста чуть более 25% к концу текущего года.В конце августа аналитики SberCIB — инвестиционного подразделения Сбербанка — добавили обыкновенные акции «Сбера» в список фаворитов, ранее бумаги банка в число своих фаворитов они не включали. Эксперты тогда отмечали, что в 2023 году российский банковский сектор может получить рекордную прибыль.Об этом же в эфире MOEX Hometalks сообщил и Тарас Скворцов. «Мы согласны с такой оценкой, что в этом году прибыль сектора будет рекордной. Мы, с большой вероятностью, преодолеем уровень, который был в 2021 году», — заявил он. Сам Сбербанк также ожидает получить прибыль, которая будет сопоставима или превысит результаты 2021 года, когда банк заработал ₽1,246 трлн.В начале сентября Сбербанк отчитался о рекордной прибыли за восемь месяцев 2023 года по российским стандартам бухучета в размере ₽999,1 млрд. Валентина Гаврикова
1;Частные инвесторы в сентябре обновили рекорд активности на Московской бирже;"Частные инвесторы в сентябре обновили рекорд активности на Московской бирже 05 октября 2023 ,  Московская Биржа  Число физических лиц, имеющих брокерские счета на Московской бирже (MOEX), по итогам сентября 2023 года достигло 27,5 млн (+690 тыс. человек за сентябрь, +4,57 млн человек с начала 2023 года), ими открыто 47,5 млн счетов (+1,55 млн счетов за сентябрь).В сентябре 2023 года сделки на Московской бирже заключали более 3,5 млн частных инвесторов – на 117 тыс. больше, чем в прошлом месяце, и это новый рекорд за всю историю биржевых торгов.  Доля физлиц в объеме торгов акциями составила 81%, в объеме торгов облигациями – 30%, на спот-рынке валюты – 17%, на срочном рынке – 62%.Объем вложений частных инвесторов на рынке облигаций в сентябре составил 67,7 млрд рублей, на рынке акций – 24,8 млрд рублей, в БПИФы – 23,3 млрд рублей.Топ-10 регионов по наибольшему числу физлиц, имеющих брокерские счета на бирже: Москва (2,40 млн), Московская область (1,55 млн), Санкт-Петербург (1,19 млн), Краснодарский край (1,02 млн), Республика Башкортостан (925 тыс.), Свердловская область (918 тыс.), Республика Татарстан (852 тыс.), Ростовская область (812 тыс.), Челябинская область (718 тыс.), Самарская область (647 тыс.).Количество индивидуальных инвестиционных счетов (ИИС) в сентябре увеличилось на 37,4 тыс. и составило 5,66 млн счетов. Оборот по ИИС по итогам месяца составил 258,8 млрд рублей, в структуре оборота 86,2% – сделки с акциями, 5,6% – с облигациями и 8,2% – с паями фондов.Регионы – лидеры по количеству открытых ИИС: Москва (567,7 тыс. счетов), Московская область (334,6 тыс.) и Санкт-Петербург (271,3 тыс.). За ними следуют Свердловская область (188,6 тыс. счетов), Краснодарский край (179,3 тыс. счетов) и Республика Башкортостан (177,6 тыс. счетов).В сентябре 2023 года самыми популярными ценными бумагами в портфелях частных инвесторов[1] были обыкновенные и привилегированные акции Сбербанка (29,5% и 7,3% соответственно), акции Газпрома (16,6%), ЛУКОЙЛа (13,8%), привилегированные акции Сургутнефтегаза (7,1%), акции Норникеля (6,7%), Роснефти (5,6%), Яндекса (5,5%), НОВАТЭКа (4,4%) и Татнефти (3,6%).Наибольший интерес частные инвесторы в сентябре 2023 года проявили к облигациям Сбербанка, ВТБ, замещающим облигациям Газпрома, а также к ОФЗ и еврооблигациям Минфина.Топ-10 российских биржевых фондов в портфелях частных инвесторов: фонд инвестиций в активы денежного рынка LQDT (27,9%), в акции, золото, денежные средства, краткосрочные и долгосрочные облигации TRUR (12,6%), в активы денежного рынка AKMM (9,8%), фонд инвестиций в российские акции SBMX (4,3%), в акции крупных публичных компаний России TMOS (4,3%), фонд на Индекс МосБиржи полной доходности ""брутто"" EQMX (4,1%), фонд инвестиций в золото GOLD (3,5%), в инструменты денежного рынка SBMM (3,4%), в российские акции AKME (3,2%) и в корпоративные рублевые облигации AKMB (2,7%).Группа ""Московская Биржа"" управляет крупнейшей в России многофункциональной биржевой площадкой по торговле акциями, облигациями, производными инструментами, валютой, инструментами денежного рынка и товарами. В состав Группы входят центральный депозитарий (Небанковская кредитная организация акционерное общество ""Национальный расчетный депозитарий""), а также клиринговый центр (Небанковская кредитная организация – центральный контрагент ""Национальный Клиринговый Центр"" (Акционерное общество)), выполняющий функции центрального контрагента на рынках, что позволяет Московской бирже оказывать клиентам полный цикл торговых и посттрейдинговых услуг."
0; Совкомбанк запланировал IPO на зиму 2023–2024 годов;Совкомбанк запланировал IPO на зиму 2023–2024 годов 05 октября 2023 ,  РБК  Совкомбанк, давно планировавший публичное размещение акций, готов провести его в декабре—январе, выяснил РБК. Это может стать первым IPO эмитента под санкциями.  Совкомбанк, входящий в список системно значимых игроков на российском рынке, готовится провести первичное размещение акций на бирже (IPO) в декабре этого года или январе следующего, рассказал РБК источник, близкий к кредитной организации. Выход на рынок в конце 2023-го — начале 2024 года подтвердил еще один собеседник, знакомый с условиями размещения.Другой собеседник РБК, близкий к кредитной организации, отметил, что точные сроки IPO будут зависеть от ситуации на рынке и решения ключевых акционеров, но размещение в четвертом квартале возможно.Это может быть первым IPO эмитента в России, находящегося под санкциями. Совкомбанк, как и многие крупные российские банки, попал под ограничения в феврале 2022 года, после начала специальной военной операции на Украине.По данным центра раскрытия корпоративной информации, 4 октября совет директоров Совкомбанка вынес на повестку обсуждение вопроса об осуществлении прав банка на обыкновенные акции. Организация также объявила о созыве внеочередного собрания акционеров 25 октября — на повестке вопросы об увеличении уставного капитала Совкомбанка путем допэмиссии акций и обращение за их листингом на биржу.Представитель Совкомбанка сообщил РБК, что банк с 2020 года поддерживает регистрацию возможной допэмиссии акций на Мосбирже. «Согласно требованиям регулятора и Московской биржи, если акции не размещены в течение трех лет, то выпуск должен быть возобновлен, что сейчас и происходит», — пояснил он, но добавил, что Совкомбанк «готов к IPO на протяжении многих лет».Представитель Мосбиржи отказался от комментариев.Что известно об обновленных планах Совкомбанка на IPOОбновление регистрации допэмиссии акций — не формальное действие Совкомбанка: сделка готовится, хотя ее параметры во многом еще не определены, говорят собеседники РБК.«Суммарные объемы размещений акций на бирже в 2022 и 2023 году не превышали 5 млрд руб. Учитывая размер и известность банка, это, вероятно, будет крупнейшая сделка за последние два года. Ценовой диапазон размещения будет зависеть от ситуации на рынке, но справедливая оценка по мультипликаторам P/E и P/B находится между «Тинькофф» и «Сбером». Текущий P/B Сбербанка равен 1, а «Тинькофф» — 3,2. То есть банк в любом случае должен быть оценен выше капитала», — поясняет еще один источник, близкий к кредитной организации.Впервые в Совкомбанке заговорили о публичном размещении акций еще в 2013 году, но с тех пор планы не раз срывались по разным причинам — из-за сделок по поглощению банков, кризиса 2014 года и пандемии 2020-го. IPO ожидалось в 2016 году, в апреле 2019-го, в 2020-м и 2022-м. Осенью 2019 года совладелец Совкомбанка Сергей Хотимский допускал, что кредитная организация может привлечь на рынке $300–500 млн.Источник, близкий к банку, утверждает, что сейчас речь о такой сумме не идет — она «была возможна только раньше, так как были западные институциональные инвесторы».По словам двух собеседников РБК, размещение акций на бирже будет проходить по сценарию cash in — это будет допэмиссия акций с размытием долей текущих акционеров.«Там не будет никакого cash out (продажа долей действующими акционерами. — РБК), привлеченный капитал пойдет на развитие банка», — говорит один их них.Деньги пойдут на развитие бизнеса, подтверждает другой собеседник: «Привлеченный капитал может быть в дальнейшем направлен на сделки M&A, то есть на неорганический рост бизнеса».Еще одна особенность готовящегося IPO Совкомбанка — отсутствие андеррайтеров (организаторов размещения ценных бумаг). Источник, знакомый с условиями сделки, поясняет, что такой подход «остался в 2021 году». «Ранее в международных размещениях иностранные институциональные инвесторы приобретали акции не напрямую, а через иностранные банки-организаторы (андеррайтеры). Сейчас такая структура отмерла», — говорит он.«У Совкомбанка большой опыт собственного участия в размещениях и акций, и облигаций, и Совкомбанк также может выступить организатором», — добавляет другой собеседник РБК.Ранее Совкомбанк проводил две допэмиссии акций и распределял их в основном между институциональными инвесторами. В августе 2018 года он разместил 9% бумаг и привлек 9,7 млрд руб. Тогда в капитал, в частности, вошли российско-китайский инвестфонд (создан РФПИ и China Investment Corp.), ближневосточные фонды и японская корпорация SBI Holdings. В апреле 2019 года было дополнительно выпущено еще 5% акций с привлечением порядка 6 млрд руб. Бумаги были размещены в пользу российско-японского инвестиционного фонда, Ayar International Investment Company (Саудовская Аравия), Bahrain Mumtalakat Holding Company (Бахрейн), а также структур Российского фонда прямых инвестиций (РФПИ) и иностранных инвесторов.После начала специальной военной операции Банк России разрешил кредитным организациям не раскрывать актуальный состав акционеров. Неизвестно, остались ли в капитале Совкомбанка инвесторы из Японии, которая ввела санкции против России, и другие иностранные акционеры.При подготовке к IPO стороны будут руководствоваться требованиями Мосбиржи и ограничениями ЦБ, пояснил источник РБК: «Сейчас раскрытия акционеров и персонального состава органов управления не требуется».Каковы перспективы IPOРынок публичных размещений оживился, но российские компании пока тестируют ситуацию, говорит аналитик группы «Финам» Леонид Делицын: «Есть несколько заявлений о готовящихся IPO, но неясно, кто отважится первым. Фактически в этом году IPO провела только Genetico, причем небольшое, и был еще прямой листинг [без привлечения нового акционерного капитала] CarMoney. К прямому листингу могут прибегнуть и некоторые другие эмитенты (ранее такой вариант выбрала IT-компания «Группа Позитив», попавшая под санкции. — РБК). Кому-то из эмитентов предстоит на своем опыте выяснить, насколько сейчас подходящее время для IPO, и показать пример другим».Эксперт отмечает, что сейчас эмитенты предлагают инвесторам небольшую долю акций — 5–15%. Но в случае Совкомбанка речь может идти «о десятках миллиардов рублей».По данным Banki.ru, Совкомбанк входит в десятку крупнейших игроков страны по активам и капиталу. Согласно отчетности по МСФО, на 30 июня 2023 года совокупные активы банка составляли 2,4 трлн руб., а капитал — 247 млрд руб.Мультипликаторы и спрос на бумаги Совкомбанка будут во многом зависеть от объема предложения, считает управляющий директор «Иволга Капитал» Дмитрий Александров: «Если инвесторам будет предложен ограниченный пакет, он может быть продан по достаточно большой оценке. Однако если объем предложения составит более 10 млрд руб., а сама бумага станет ликвидной, я бы не ждал, что мультипликаторы окажутся выше, чем у «Сбера».«Момент выхода на биржу не самый удачный. Инвесторы проявляют высокую осторожность и все чаще предпочитают доходные облигации», — отмечает независимый аналитик Андрей Бархота. Он допускает, что целевой объем допэмиссии может быть порядка 50–100 млрд руб., а оценка Совкомбанка на момент размещения — 0,8 капитала или один капитал «с перспективой роста».Рентабельность капитала Совкомбанка, по словам Бархоты, превышает соответствующие метрики публичных госбанков — «Сбера» и ВТБ, а также банка «Санкт-Петербург», чьи акции тоже обращаются на бирже.Совкомбанк намерен привлечь капитал как от институциональных, так и от частных инвесторов. «В первую очередь [размещение] рассчитано на розницу. Оставшиеся в России институциональные инвесторы — НПФ и страховые компании — не могут участвовать в IPO относительно небольшого размера в силу регуляторных ограничений», — поясняет источник, знакомый с условиями размещения.Бумага будет интересна частным инвесторам, потому что пока публичных банков не очень много, объясняет Делицын. Александров тоже считает, что размещение Совкомбанка привлечет внимание розницы, поскольку «спрос на новые имена на рынке есть». «Сейчас основной спрос на акции приходит со стороны физических лиц, и у них нет никаких ограничений в связи с санкционным статусом эмитента. Почти все голубые фишки находятся под блокирующими санкциями, и это не мешает росту их акций», — замечает эксперт. Юлия Кошкина
1; Сумма выкупа «Сбером» акций у нерезидентов может превысить 1 трлн рублей;Сумма выкупа «Сбером» акций у нерезидентов может превысить 1 трлн рублей 29 сентября 2023 ,  Ведомости  О проработке такого варианта заявил предправления банка Герман Греф  Сбербанк рассматривает возможность выкупа своих акций у нерезидентов, но пока конкретных планов нет. Об этом 29 сентября на форуме «Эко Алтай. Нить природы» заявил предправления банка Герман Греф. Сумма выкупа может составить около 1,1 трлн руб. с учетом предусмотренного законодательством дисконта в 50%, оценивал 19 сентября стратег по валютам SberCIB Юрий Попов в ходе вебинара инвестподразделения. Долю бумаг «Сбера» на руках у иностранцев Попов оценивал в 35%, или 2,1 трлн руб., от их рыночной капитализации на 19 сентября (6 трлн руб.).Актуальный размер пакета акций Сбербанка, принадлежащего иностранцам, может быть озвучен к годовому собранию акционеров, приводит слова Грефа «Интерфакс». Его дата неизвестна, но собрание по итогам 2022 г. прошло в апреле этого года.После заявления Грефа о возможном выкупе доли иностранцев обыкновенные акции Сбербанка выросли на Мосбирже на 1,91% к закрытию предыдущей сессии до 262,59 руб., на 12:00 мск они торговались на уровне 261,97 руб. Привилегированные бумаги выросли в цене за это же время на 1,95% до 262,3 руб., но на 12:00 мск скорректировались до 261,86 руб.Помимо Сбера, у которого наиболее велика стоимость акций на руках нерезидентов (1,1 трлн руб. с учетом дисконта в 50%), выкуп могли бы провести «Газпром» (625 млрд руб.), «Лукойл» (478 млрд руб.), «Яндекс» (434 млрд руб.) и «Новатэк» (422 млрд руб.). В общей сложности, по оценке Попова, потенциал рынка сделок с нерезидентами составляет около $100 млрд (9,7 трлн руб. с учетом скидки).Стремление российских компаний выкупать бумаги у нерезидентов объясняется выгодой от такой сделки, пояснял Попов на вебинаре 19 сентября: с учетом дисконта в 50% доход для локального покупателя составит сразу 100%. Власти также заинтересованы в таких операциях, потому что часть дохода поступает напрямую в бюджет в виде комиссии, отмечал стратег.Помимо выгоды бизнес может ориентироваться и на политическую повестку, полагает директор департамента инвестиционно-корпоративного бизнеса «Цифра брокера» Александр Цыганов: компании будут стремиться выкупать акции у недружественных нерезидентов, чтобы продать их дружественным.Многие иностранные инвесторы из недружественных стран наверняка будут рады получить даже полцены за свои заблокированные бумаги, добавил начальник отдела экспертов по фондовому рынку «БКС мир инвестиций» Альберт Короев.Также с помощью выкупа акций у нерезидентов есть возможность улучшить качество корпоративного управления, добавляет аналитик «Ингосстрах-инвестиций» Артем Аутлев: больше акционеров сможет принимать участие и голосовать на собраниях акционеров.В сентябре ритейлер «Магнит» сообщил о выкупе у иностранцев 21,5% своих акций за 48,5 млрд руб. с дисконтом 50% к рыночной цене. В августе стало известно, что «Лукойл» попросил власти разрешить выкупить до 25% акций у нерезидентов с дисконтом не менее 50%. Нефтяная компания обещала направить на выкуп деньги, накопленные на иностранных счетах, и не выходить на внутренний валютный рынок. Вице-премьер Александр Новак ранее отмечал, что не только «Лукойл» хочет выкупить свои акции у нерезидентов, не называя конкретных имен.Ранее по теме: Есть ли риски для рубля из-за выкупа акций нефтяников у иностранцевЭкспортеры могут специально придерживать валюту с целью выкупа долей у нерезидентов, отмечал Попов: в прошлом году сделки по выпуску иностранцев из российских активов были точечными, но примерно с весны этого года процесс стал более массовым. С начала года объем таких сделок мог составить около $10 млрд, что много в условиях более низкой ликвидности валютного рынка, оценил Попов. С июня власти ограничили объем таких сделок $1 млрд в месяц.Цыганов из «Цифра брокера» не ожидает, что выкуп «Сбером» бумаг у иностранцев повлияет на курс рубля. Такое мероприятие не проходит одномоментно, к нему готовятся на протяжении времени, касается это и накопления денежной массы под выкуп, объясняет эксперт. Артем Кульша
1; Бумаги Сбербанка подорожали на фоне сообщения о возможности выкупа акций;Бумаги Сбербанка подорожали на фоне сообщения о возможности выкупа акций 29 сентября 2023 ,  РБК  Сбербанк анализирует тему возможного выкупа собственных акций у инвесторов-нерезидентов, но на данный момент у кредитной организации конкретных планов в этом отношении нет, сообщил глава банка Герман Греф.  Обыкновенные акции Сбербанка на торгах Московской биржи подорожали на 1,25% — до ₽261,4 за бумагу по состоянию на 10:03 мск. Привилегированные акции банка подорожали на 1,53% — до ₽261,22 за бумагу.Рост котировок совпал с сообщением о том, что Сбербанк рассматривает вопрос о возможном выкупе акций у иностранных акционеров. Об этом глава Сбербанка Герман Греф сообщил «Интерфаксу» в кулуарах форума «Эко Алтай. Нить природы». Однако на данный момент нет конкретных планов по этому направлению, уточнил Греф. 
