class;article;text
1;Дивидендный урожай. Какие компании выплатят акционерам больше всего // Forbes;Дивидендный урожай. Какие компании выплатят акционерам больше всего 16 апреля 2018 ,  Forbes  Объем дивидендов, выплачиваемых эмитентами из индекса Московской биржи, растет в среднем на 11% в год. Чьи акции обеспечат наибольшую дивидендную доходность в этом году?  В апреле 2018 года значительное влияние на российский рынок начала оказывать политика и развитие ситуации с торговыми войнами на международной арене. Очевидно, что эта тенденция сохранится в ряде отраслей и в дальнейшем может сказаться на готовности компаний выплачивать дивиденды.Между тем на начало апреля дивидендная доходность индекса Московской биржи оценивалась в 4,8%. По этому показателю российский рынок акций лидирует среди биржевых индексов стран как с развитой экономикой, так и с развивающейся.Начиная с 2014 года,дивидендная доходность российских компаний стабильно держится выше 4% — притом, что индекс Московской биржи за этот период увеличился почти на 60%. Такая ситуация объясняется стабильно растущими дивидендными выплатами со стороны отечественных компаний, которые,в свою очередь, являются следствием растущей прибыли и доли от нее, направляемой на дивиденды акционерам.С 2014 года объем дивидендов, выплачиваемый акционерам, увеличился в 1,5 раза и по итогам 2017 года может быть зафиксирован на уровне 1,5 трлн рублей. При этом если в 2012-2013 годах на дивиденды в среднем направлялось 22-26% от чистой прибыли, то в 2015-2017 годах этот показатель повысился до 33-34%.Объем дивидендов, выплачиваемых эмитентами из индекса Московской биржи, растет в среднем на 11% в год. Так, например,компания «НОВАТЭК» увеличила объем рекомендованных выплат акционерам по итогам 2017 года в сравнении с 2014 годом на 14,1 млрд рублей (прирост 45% за 4 года).Причины ростаФундаментальных предпосылок для увеличения дивидендных выплат было несколько. Ключевые из них — это опережающие темпы роста прибыли компаний по сравнению с капитальными затратами и требование Минфина к госкомпаниям выплачивать в виде дивидендов 50% от чистой прибыли, которое впервые стало применяться в 2015 году.В 2013-2016 годах в российской экономике наблюдалась инвестиционная пауза, при этом прибыль компаний последние три года росла. Замедление инвестиций формировало у предприятий свободные денежные средства, которые они направляли в виде дивидендов акционерам.Эта тенденция была наиболее характерна для компаний черной металлургии. Для сравнения, если по итогам 2014 года ММК, НЛМК и «Северсталь» суммарно выплатили акционерам 80,1 млрд рублей, то по итогам 2017 года объем их дивидендов может составить 207 млрд рублей.Что касается инициативы Минфина по отчислению дивидендов госкомпаний в размере 50% от чистой прибыли, то большинство эмитентов ее выполняют. Из-за масштабных инвестиционных планов не платят 50% от чистой прибыли «Газпром» и «Россети».Тем не менее со стороны компаний с государственным участием наблюдался рост дивидендных выплат. В частности, в 2017 году предприятия с госучастием из индекса Московской биржи могут выплатить в виде дивидендов 415,8 млрд рублей,что в 1,5 раза больше по сравнению с 2014 годом.Итоги и прогнозыПо нашим оценкам, за 2017 год компании, которые входят в индекс Московской биржи, уже выплатили акционерам 508 млрд рублей. В основном это эмитенты, которые платят дивиденды с периодичностью более чем один раз в год.Мы ожидаем, что в целом по итогам 2017 года суммарные дивидендные выплаты составят 1,498 трлн рублей. По сравнению с 2016 годом их увеличение составит 7,6%. Таким образом, динамика роста будет самой слабой за последние 5 лет. Это обусловлено общим замедлением темпов роста прибыли компаний, а также отказом ряда эмитентов выплачивать дивиденды по итогам 2017 года.В отраслевом разрезе по объемам выплат традиционно лидируют нефтегазовый сектор и металлургия, они аккумулируют более 70% всех дивидендов. В 2017 году мы ждем существенного роста веса финансового сектора в структуре выплат.В частности, крупные выплаты может сделать Сбербанк, который по итогам 2017 года увеличил прибыль на 38,2% (до 748,7 млрд руб.). При сохранении доли прибыли, направляемой на дивиденды, на уровне 25% от чистой прибыли по МСФО, можно рассчитывать на аналогичный рост дивидендных выплат.Если же Сбербанк, который взял курс на достижение выплат в размере 50% от прибыли, направит на эти цели 35% и более, тогда увеличение дивидендов Сбербанка будет более существенным. По объемам выплат банк обгонит «Газпром», заняв первое место среди эмитентов биржи (около 262 млрд рублей с учетом «префов»). Благодаря Сбербанку финансовый сектор будет лидировать по динамике роста дивидендов в 2017 году.От потребительского сектора можно ожидать увеличения выплат дивидендов на 21,4%. Х5 Retail Group планирует впервые за всю историю выплатить часть прибыли акционерам — они получат 21,6 млрд рублей (69% от чистой прибыли). Это нивелирует отказ «Магнита» от выплат дивидендов по итогам 2017 года.Нефтегазовый сектор покажет рост выплат на 13,9%. «Газпром» планирует сохранить объем дивидендов на уровне 2016 года. При этом мы ждем существенного роста выплат со стороны «Роснефти». По итогам первого полугодия 2017 года компания направила акционерам 50% от чистой прибыли по МСФО, если такой же коэффициент будет применен к финальным дивидендам, то по сравнению с 2016 годом их объем увеличится на 75%.Суммарный объем выплат со стороны металлургического сектора и добычи может увеличиться на 11,5% к 2016 году. Главным разочарованием грозит стать «АЛРОСА», прибыль которой сократилась на 41%, уменьшив предполагаемые выплаты компании на 27,2 млрд рублей. Остальные компании сектора, в первую очередь, предприятия черной металлургии, покажут хороший рост дивидендов относительно 2016 года.В секторе электроэнергетики ожидается снижение объема выплат на 5,1%, что будет связано с сокращением дивидендов «РусГидро» из-за падения прибыли (на 43,5% до 22,5 млрд рублей). Правда, если базой для расчета дивидендов станет скорректированный показатель (62,7 млрд рублей), то выплаты могут быть сохранены на уровне 2016 года.В этом секторе основной интригой является объем дивидендов со стороны «Россетей», так как база для их выплат является непредсказуемой. Есть риск того, что по итогам 2017 года дивиденды будут крайне низкими. Неопределенность выплат является основной чертой российского сектора энергетики, за исключением некоторых эмитентов. Объемы дивидендов, которые будут направлены акционерам, рассчитать достаточно сложно даже при наличии опубликованной отчетности.Сильное падение выплат мы ожидаем в телекоммуникационном и транспортном секторах — на 36,4% и 53% соответственно. Для телеком-отрасли причиной станет отказ от дивидендов по итогам года со стороны «Мегафона». Его акционеры недосчитаются почти 40 млрд рублей. В транспортном секторе сокращение выплат будет связано с падением чистой прибыли «Аэрофлота» на 40% и неопределенности объемов, которые может направить акционерам НМТП.Самые доходныеНаиболее доходным с точки зрения дивидендов, по нашим оценкам, являются секторы металлургии и телекоммуникаций, а также нефтегазовая отрасль. Они обеспечивают инвесторам доходность на уровне 6-8%, что выше, чем среднее значение по индексу Московской биржи. Наиболее низкая доходность — в финансовом и потребительском секторах.Самую высокую дивидендную доходность можно получить по акциям «Северстали», АФК «Система» и НЛМК. Однако этот показатель для них рассчитан с учетом уже выплаченных дивидендов.Таким образом, рассчитывать на него можно только при условии сохранения выплат со стороны компаний в 2018 году хотя бы на уровне 2017 года. С учетом того, что фиксированный объем дивиденда заложен у АФК «Система» (не менее 1,19 рублей за акцию) и МТС (25-26 рублей за акцию) — именно у этих компаний есть все шансы прослыть самыми щедрыми по отношению к акционерам.Согласно положению о дивидендной политике «Интер РАО», при подготовке рекомендаций по выплате акционерам совет директоров компании может принять во внимание размер полученной консолидированной чистой прибыли, которая в 2017 году снизилась на 6,9 млрд рублей.Заметим при этом, что компания нацелена на обеспечение роста дивидендных выплат до уровня 25% от консолидированной прибыли. По нашим оценкам, дивидендная доходность акций «Интер РАО» по итогам 2017 года может достичь 4,2%. Высокую доходность также могут обеспечить обыкновенные акции «Ростелекома», ФСК ЕЭС и «Аэрофлота».Нужно констатировать, что немалая часть российских инвесторов, в основном физических лиц, не получает дивиденды в силу своей нерасторопности или низкого уровня финансовой грамотности.В преддверии дивидендных выплат по итогам 2017 года хотелось бы рекомендовать акционерам, рассчитывающим на получение дивидендов, сообщить регистратору свои актуальные банковские реквизиты. Вадим Протасенко
0;Эффект Дерипаски. Стоит ли инвестировать в рухнувшие акции // Forbes;Эффект Дерипаски. Стоит ли инвестировать в рухнувшие акции 13 апреля 2018 ,  Forbes  Опыт UC Rusal Олега Дерипаски свидетельствует о том, что оптимизм в отношении российских активов должен быть крайне сдержанным  После падения российского рынка в начале недели инвесторы уже начали покупать подешевевшие «голубые фишки». Однако опыт UC Rusal Олега Дерипаски свидетельствует о том, что оптимизм в отношении российских активов должен быть крайне сдержаннымТорговую сессию на Московской бирже 9 апреля уже начали популярно называть «черным понедельником». По мировому стандарту коррекция рынка на 10% в течение одного или нескольких дней считается полноценным обвалом. Все началось с падения акций UC Rusal на Гонконгской бирже: по итогам торгов их котировки рухнули на 50%. На Мосбирже эти бумаги завершили сессию с 27-процентной потерей. Вслед за обвалом рынка акций упал и курс рубля, потеряв за два дня порядка 10%. Ранее, 6 апреля, Минфин США ввел новые санкции против России. Под ограничительные меры попали физические лица и несколько организаций. Главным шоком для всех стало внесение в санкционный список компаний Олега Дерипаски, включая UC Rusal.Алюминиевая трагедияКрайне негативная реакция инвесторов в UC Rusal обусловлена двумя причинами. Во-первых, почти 18% всего экспорта алюминия компании приходится на США, и это огромная доля. Если вы как инвестор ориентируетесь на фундаментальные факторы, представьте себе, что компания только что объявила о вероятном снижении выручки в следующем году на 18%. Это крах. Когда крупные американские компании объявляют о понижении целевых показателей даже на несколько процентов, их акции падают на десятки процентов за день. Фондовый рынок, как известно, живет в будущем или как минимум должен смотреть вперед.Узнав о потенциальной потере одной пятой всей выручки, компания решила предупредить инвесторов о возможном техническом дефолте по своим приближающимся долговым обязательствам. Это абсолютно нормально в такой ситуации. Если компания кредитовалась в иностранных банках, то из-за санкций они могут отказать в дальнейшем продлении кредитов. Кроме того, значительная потеря выручки приводит к существенному сокращению свободного денежного потока, что способствует нарушениям долговых обязательств.Во-вторых, падению акций UC Rusal способствовал вынужденный выход иностранных инвесторов. И это тоже вполне логично. Попав в список SDN, компания теряет не только американских клиентов, но и инвесторов, поскольку вкладываться в UC Rusal им тоже запретят. Тут важно понимать, что большинство зарубежных акционеров российских компаний — это те же россияне, владеющие паями в иностранных фондах, которые в итоге инвестируют в российские акции. Могли ли продажи акций «иностранцами» так уронить котировки UC Rusal? Безусловно. Но скорее это было сочетание всех указанных факторов.Во время обвала фондового рынка вслед за акциями UC Rusal мы могли наблюдать любопытный феномен. Все, конечно же, следили за бумагами Сбербанка, которые потеряли в районе 20% своей стоимости за день. СМИ ссылаются на тот факт, что Сбербанк является крупнейшим кредитором US Rusal. У нас нет уверенности в точном размере долгов компании перед Сбербанком, но они точно не составляют 20% от капитала банка. Теоретически некий крупный акционер UC Rusal или группа акционеров во избежание маржин-колла либо из-за желания купить акции дешевле могли ликвидировать свои самые ликвидные и прибыльные позиции, одной из которых был Сбербанк.Последствия для всехКак можно спасти UC Rusal от приближающегося краха? Самой простой выход — получение поддержки от государства. Россия может начать скупать все те объемы алюминия, которые приходились на США, и хранить их на складах до лучших времен. США придется найти другого поставщика, самым крупным из которых является Китай. Те, кто следит за геополитической обстановкой, знают, что Дональд Трамп объявил торговую войну Китаю, подняв тарифы на те же металлы.Китай ответил встречными тарифами на ряд товарных позиций из США. Пойдут ли США за алюминием в Китай, пока неизвестно, но можно рассчитывать, что цены на этот металл будут расти. Ведь с рынка уйдет практически 20% всего экспорта UC Rusal. К слову, мы не исключаем, что тот же самый алюминий от UC Rusal в итоге будет поступать в США, но уже через посредников. Тем не менее до того, как станет понятно, в каком направлении пойдут управляющие, мы не увидим особого позитива как в акциях, так и в облигациях компании.Российский рынок акций уже утерял свою ценность как площадка для обмена ценными бумагами и привлечения капитала корпорациями. Большинство компаний становятся публичными, чтобы использовать собственные акции в мерах обеспечения долговых обязательств. В этой связи резкое падение цен акций приводит к негативу на рынке корпоративных долговых инструментов, что поспособствует дальнейшему падению фондового рынка. Самой страшной угрозой для российского рынка акций сегодня является расширение санкций против отдельных эмитентов как со стороны США, так и Европы.Внесение компаний в список SDN — это крайняя мера, но в настоящее время ни одна российская компания от этого не застрахована. В наибольшей опасности находятся экспортеры сырья и товаров.В целом мы настроены довольно пессимистично, но масштабного обвала рынка скорее всего ожидать пока не стоит. В то же время есть смысл понаблюдать за поведением ОФЗ и корпоративных бондов. Иностранные инвесторы скорее будут продавать долговые инструменты до того, как начнут избавляться от акций публичных компаний. Хорошим индикатором потенциальных проблем со стороны облигаций будет дальнейшее снижение курса валют. Ситуация, конечно, довольно серьезная, но ожидаемая. Ведь на самом деле с 2014 года особо ничего не изменилось. С точки зрения инвестиций в российский рынок, мы бы не советовали торопиться с использованием возможности зайти дешевле, чем неделю назад, и считаем, что все еще только начинается. Егор Романюк
2; Дивидендная лазейка. Смогут ли фигуранты списка SDN получать портфельный доход // РБК;Дивидендная лазейка. Смогут ли фигуранты списка SDN получать портфельный доход 12 апреля 2018 ,  РБК  Из-за риска вторичных санкций даже компании в России, связанные с олигархами из списка SDN, опасаются вести с ними дела. Но Rusal, похоже, сможет получить дивиденды от «Норникеля», а «Ренова» — от швейцарских компаний.Компании, не входящие в юрисдикцию США (а значит, и российские тоже), «могут столкнуться с санкциями за содействие значимым транзакциям в пользу или в интересах» бизнесменов и компаний, внесенных 6 апреля в санкционный список SDN, предупреждал Минфин США. Любая крупная сделка с фигурантами списка (Владимир Богданов, Олег Дерипаска, Сулейман Керимов, Игорь Ротенберг, Кирилл Шамалов, Андрей Скоч, Виктор Вексельберг, компании En+, Rusal, «Ренова» и др.) потенциально может стать поводом для вторичных санкций против того, кто ей содействует.Однако Rusal, которой грозит нехватка ликвидности, вероятно, сможет получить дивиденды на свою долю в «Норильском никеле» (27,8%), утверждает источник в международной юрфирме, знакомый с ситуацией. Он пояснил, что дивиденды относятся к категории так называемой общей выгоды (generalized benefit), которая предназначена большому количеству лиц, не связанных между собой. Такого рода выплаты нельзя трактовать как существенную поддержку в адрес конкретного лица (significant transaction), утверждает собеседник РБК. «Норникель» платит дивиденды регулярно, выплат не было только за кризисный 2008 год.Речь идет об ответе № 545 Управления США по контролю за иностранными активами (OFAC, санкционное бюро Минфина США) на «часто задаваемые вопросы» по санкциям. Там говорится, что «содействие существенной транзакции в пользу или в интересах лица будет интерпретироваться как оказание помощи для транзакции, из которой данное лицо [под санкциями] извлекает конкретную (отдельную, особую. — РБК) выгоду (в противоположность обобщенной выгоде, причитающейся недифференцированным лицам в совокупности)».Case by caseБывший старший советник OFAC, эксперт Atlantic Council Брайан О'Тул согласен, что этот пункт может помочь Rusal получить свою долю в дивидендах «Норникеля», но слишком многое зависит от конкретных деталей транзакции. «Если доля владения составляет 40%, или 10%, или 0,5% — ответы могут различаться. Даже если доля в 10% влечет очень большой платеж, транзакция может быть сочтена существенной [и привести к вторичным санкциям]. Все индивидуально», — рассуждает О'Тул.OFAC ранее указывало, что для оценки «существенности» транзакции ведомство будет принимать во внимание следующие факторы: размер, количество и частота транзакций, существо транзакции, уровень осведомленности менеджмента, степень взаимосвязи между транзакцией и лицом SDN, влияние транзакции на поставленные задачи властей США, вовлечены ли обманные практики в транзакцию и, наконец, дополнительные соображения, которые могут быть у министра финансов США, напоминает партнер юридической компании Dentons Артем Жаворонков. Если пройтись по всем этим критериям применительно к выплате дивидендов в пользу SDN, оценка будет неоднозначная, говорит он. «Скорее всего, размер дивидендов будет иметь значение, а также то, в какой индустрии работает выплачивающее дивиденды лицо. Если это лицо прямо или косвенно задействовано в бизнесе, который уже относится к санкционным видам, то риски отнесения транзакции к «существенной» многократно увеличиваются», — рассуждает Жаворонков.Санкции никогда не налагаются согласно строгим, единообразным, чисто юридическим критериям, говорит О’Тул, это решение санкционной политики (policy decision). «Это создает много неопределенности», — признает эксперт. «Учитывая обстановку и общий настрой американского регулятора к санкционным лицам, есть риск, что выплата дивидендов [«Норникеля» в пользу Rusal] может быть признана существенной», — добавляет Жаворонков. РБК направил запрос в OFAC.Не намерены блокировать выплату дивидендов в пользу подсанкционных россиян и некоторые иностранные компании, в которых Дерипаске или Вексельбергу принадлежат крупные неконтролирующие доли. Австрийский строительный концерн Strabag, в котором Rasperia Trading Дерипаски владеет 26%, сообщил в понедельник в ответ на запрос РБК относительно дивидендов, что не считает, что санкции США напрямую его затрагивают. Швейцарская Oerlikon (структурам «Реновы» принадлежит 43% акций) 10 апреля приняла решение о выплате дивидендов за 2017 год, не упоминая о каких-либо ограничениях. Дивиденды должны быть выплачены 16 апреля, на долю «Реновы» приходится около 51 млн швейцарских франков. Пресс-служба Oerlikon не ответила на запрос РБК.Материальная помощьВопрос о дивидендах и капзатратах «Норникеля» — основной в споре двух крупнейших акционеров компании, UC Rusal (27,8%) и «Интерроса» Владимира Потанина (30,4%). Конфликт между ними разгорелся в третий раз в феврале этого года, когда их арбитр Роман Абрамович решил продать часть принадлежащего ему с Александром Абрамовым пакета (4% «Норникеля»). «Интеррос» уже выкупил пропорционально причитающиеся ему 2,1% за $770 млн, а Rusal оферту также приняла, но оспорила всю сделку в английском суде, посчитав цену завышенной.Согласно дивидендной политике «Норникеля» его акционеры могут рассчитывать на выплаты в размере 60% от уровня EBITDA, если отношение чистого долга к EBITDA не выше 1,8. В диапазоне между 1,8 и 2,2 доля дивидендных выплат рассчитывается по плавающему коэффициенту, а при превышении долга 2,2 EBITDA дивиденды уже составляют лишь 30% EBITDA. По итогам 2017 года (финальные дивиденды) акционеры «Норникеля» получат 54% EBITDA, или $2,16 млрд. На долю Rusal, соответственно, приходится $600 млн.Дивиденды «Норникеля» помогают Rusal обслуживать высокий долг ($7,6 млрд — чистый долг на конец 2017 года). Потанин неоднократно выступал за временное сокращение дивидендов в пользу крупных инвестпроектов для увеличения стоимости компании. «Трудно инвестировать, держать долг на уровне, достаточном для инвестиционного рейтинга, и выплачивать дивиденды», — говорил он в ноябре прошлого года.Последнее предложение Дерипаски, которое стало известно из судебных документов, представленных Rusal и «Интерросом» в Высокий суд Лондона, — направлять на дивиденды $2,5 млрд ежегодно, если EBITDA компании достигает $5 млрд. Согласно этим документам, Потанин был согласен установить минимальный уровень дивидендов в $1,5 млрд ежегодно (сейчас такой планки нет) и принимать за базу для их расчета не EBITDA, а свободный денежный поток, говорится в материалах «Интерроса».У государства ограничены возможности помощи пострадавшим от санкций олигархам, поэтому увеличение сейчас дивидендов «Норникелем» приветствовалось бы в верхах, считает директор группы корпоративных рейтингов АКРА Максим Худалов. Возможно, что Потанину придется спасти Rusal: согласиться повысить дивиденды, поступившись на время своими приоритетами, добавил он.Как заявил министр финансов Антон Силуанов в среду, помощь отрезанной от международных финансовых рынков компании может быть оказана через подконтрольные государству банки, в том числе Промсвязьбанк. Rusal уже должна Сбербанку около $4,2 млрд.Однако Bloomberg со ссылкой на источники пишет, что американские санкции против Rusal не позволяют Потанину согласиться на увеличение дивидендов. Источник РБК в международной юридической компании отмечает, что изменение дивидендной политики может трактоваться OFAC как «существенная выгода» для подсанкционной Rusal. Кроме того, по данным источников Bloomberg, санкции лишили Абрамовича возможности продать 1,9% «Норникеля» Дерипаске, равно как и Потанина — возможности выкупить долю Rusal в «Норникеле».В «Норникеле» от комментариев отказались, представитель UC Rusal не ответил на запрос РБК. Иван Ткачёв, Светлана БурмистроваРУСАЛ, акция об.
1;На поле боя: кто пережил обвал лучше всех // Россия 24;"На поле боя: кто пережил обвал лучше всех 12 апреля 2018 ,  Россия 24  Некоторые бумаги оправились от падения очень быстро и даже стали выглядеть лучше, чем до ""черного понедельника""  Обвал на фондовом рынке России оказался не таким драматичным, как могло показаться на первый взгляд. Некоторые бумаги оправились от падения очень быстро и даже стали выглядеть лучше, чем до ""черного понедельника"".В тот роковой день 9 апреля продавали все и по любым ценам, однако в последующие два дня ситуация несколько успокоилась, индекс Мосбиржи начал восстанавливаться, а инвесторы и спекулянты начали подбирать бумаги, которые менее подвержены угрозе санкций и вообще выбирать сильные бумаги.Кроме того, сейчас начинается сезон дивидендов, поэтому отдельные бумаги также выглядят крайне привлекательно. Не стоит забывать, после обвала на 10-15% дивидендная доходность существенно выросла.Итак, какие же бумаги смогли без существенных проблем пережить этот пока краткосрочный кризис, а каким сделать этого не удалось?Разговор пойдет только о наиболее ликвидных бумагам, которых, кстати сказать, на российском рынке совсем немного.Явным лидером выступают акции ""ЛУКойла"". Уже на следующий день после обвала они смогли полностью отыграть потери, а накануне и вовсе обновили новый исторический максимум. ""ЛУКойл"" и до этого выглядел очень сильно, и инвесторы воспользовались падением для увеличения доли бумаги в портфеле.К слову, пока российский рынок падал, цены на нефть росли и накануне обновили максимум с 2014 г. Очевидно, для ""ЛУКойла"", как нефтяной компании, это крайне позитивно.На фоне стремительного падения рубля традиционно неплохо выглядели бумаги ""Сургутнефтегаза"". Сами акции, по сути, часто рассматриваются как валюта, поскольку компания аккумулировала и давно держит огромный запас денежных средств в долларах. Именно поэтому любое ослабление рубля всегда позитивно сказывается на котировках этой бумаги.На графике видно, что как только рубль начал отыгрывать потери, вниз пошли и акции ""Сургутнефтегаза"".Еще одна бумага, которая достойна пережила панику, - ""Газпром"". По итогам вчерашних торгов котировки оказались на несколько рублей выше, чем они были на момент начала падения в понедельник.Впрочем, с технической точки зрения вероятность снижения этих акций все еще сохраняется. Сейчас котировки практически достигли верхней границы треугольника и могут начать движение вниз. Стоит также отметить, что газовый гигант является экспортером и ослабление рубля также позитивно для его финансового положения.Есть и явные аутсайдеры. Это скорее банковский сектор. Особенно слабо выглядели бумаги Сбербанка. Как раз тот случай, когда лидер рынка в мгновение превратился в отстающего.Но здесь в целом все понятно. До вчерашнего вечера перед российскими банками всерьез маячила угроза санкций, то есть изоляции от долларовой системы со всеми вытекающими последствиями. Стоит напомнить, что последние 30-40 лет весь мир живет по принципу финансовой пирамиды. Объем долгов постоянно растет, но их особо никто не отдает, а рефинансирует.В такой ситуации, если банки РФ были бы отрезаны от долларовой системы, они потеряли бы возможность рефинансирования и долги пришлось бы отдавать.Напомним, вечером министр финансов США Стивен Мнучин отверг предложенный одним из демократов законопроект о введении ограничений на суверенный госдолг РФ, при этом облигации госбанков приравнивались бы к суверенному долгу. Газпром, акция об.Газпром, деп. расп.Лукойл, акция об.Лукойл, деп. расп.Сбербанк России, акция об.Сбербанк России, акция прив.Сургутнефтегаз, акция об.Сургутнефтегаз, акция прив."
